Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Naive Bayes,0.923671497584541,0.9953703703703703,0.7337883959044369,0.8447937131630648,0.9979531383678464
Logistic Regression,0.9893719806763285,0.9763513513513513,0.9863481228668942,0.9813242784380306,0.9985832957692059
Random Forest,0.9816425120772947,0.9536423841059603,0.9829351535836177,0.9680672268907563,0.9984936018325161
XGBoost,0.9739130434782609,0.9403973509933775,0.9692832764505119,0.9546218487394958,0.9985671968574924
